(IU,1992-1,3506929)
(IU,1992-12,3710810)
(IF,1992-8,4247711)
(DU,1990-6,36842004)
(IU,1991-9,3869429)
(IU,1991-11,3180323)
(DU,1994-5,40160849)
(IF,1994-9,3945324)
(IU,1990-7,4521613)
(DU,1992-3,34725592)
(IU,1990-5,3431860)
(IF,1991-12,3191824)
(DU,1992-10,34955428)
(IU,1993-4,3934265)
(IU,1994-1,4002184)
(IU,1991-4,3091603)
(IF,1993-7,4346689)
(IF,1994-5,3590453)
(DU,1994-1,33063218)
(DU,1991-6,35858037)
(DF,1992-12,0)
(DU,1992-12,33830874)
(DU,1991-1,30724450)
(IF,1990-5,2985524)
(DU,1993-8,41136058)
(IF,1993-11,3102070)
(DU,1994-12,39860272)
(IU,1993-8,5296822)
(DU,1994-8,44685652)
(IF,1992-10,3375638)
(IU,1990-10,3404980)
(IF,1991-7,3721617)
(DU,1990-3,37128970)
(DU,1993-4,35911416)
(IF,1990-1,2860131)
(IU,1990-1,3163636)
(IU,1991-12,3420389)
(IF,1994-11,3336791)
(IF,1991-2,2323389)
(IU,1994-9,4405835)
(IF,1992-3,3269562)
(IF,1990-12,3024619)
(IF,1993-2,2815841)
(DU,1992-7,43020899)
(IU,1992-6,4197786)
(IF,1993-10,3461656)
(DU,1991-11,31460132)
(IF,1994-2,3009219)
(IF,1994-6,4019276)
(IU,1991-5,3537495)
(IF,1993-6,3706176)
(IU,1990-8,4809858)
(IU,1992-2,3335676)
(IF,1990-6,3398467)
(IU,1991-8,4913800)
(IF,1991-3,2873709)
(DU,1991-12,34547097)
(DU,1993-7,40061356)
(IF,1991-11,2810935)
(IU,1990-4,3354738)
(DU,1990-9,32065750)
(DU,1991-3,33580010)
(DU,1993-9,35566276)
(IF,1992-12,3308177)
(IU,1993-5,4107034)
(DU,1992-4,32726872)
(IF,1994-1,3600154)
(IU,1993-12,3861790)
(IU,1992-9,3953099)
(IU,1994-5,4131897)
(IF,1993-3,3327112)
(DU,1993-3,36290302)
(IF,1994-10,3773951)
(DU,1990-5,34817539)
(DU,1991-7,37508302)
(IU,1991-2,2300642)
(IU,1993-9,4221740)
(DU,1993-11,36187863)
(DU,1992-8,43894824)
(IU,1991-1,3041604)
(DU,1994-9,38567585)
(DU,1994-4,38672069)
(DU,1992-1,29943398)
(IF,1992-4,3265400)
(DU,1990-10,34880553)
(IU,1992-5,3822359)
(IF,1990-11,2994875)
(IF,1990-2,2542367)
(IU,1991-10,3621322)
(IU,1992-11,3475666)
(IU,1990-12,3333433)
(IF,1990-9,3281648)
(DU,1992-5,34615438)
(DF,1992-3,0)
(IF,1990-7,3810899)
(DU,1993-6,38266242)
(IF,1991-10,3105477)
(DU,1990-8,40133087)
(DU,1994-3,40829245)
(IF,1992-1,3268915)
(DU,1993-10,38278811)
(IU,1992-3,3865991)
(IU,1990-3,3448533)
(IU,1993-6,4361449)
(DU,1990-4,34911807)
(IF,1993-5,3451387)
(IF,1991-4,2803254)
(DU,1994-7,44225966)
(DU,1991-4,33983273)
(IU,1990-9,3641866)
(IU,1994-6,4619219)
(IF,1993-4,3279389)
(IU,1992-4,3658870)
(IU,1993-3,4156289)
(IF,1992-7,4068202)
(DU,1994-10,41251539)
(IU,1991-3,3023635)
(IF,1991-5,3041909)
(IU,1994-7,5229173)
(IF,1993-9,3574809)
(DU,1991-8,38909185)
(IU,1993-11,3479444)
(IU,1991-7,4497414)
(DU,1993-2,30252380)
(IU,1992-8,5021247)
(DU,1990-1,31184423)
(IF,1990-3,3576230)
(IU,1994-10,4192738)
(IF,1990-10,2961992)
(IF,1992-5,3362949)
(IF,1994-7,4571399)
(IU,1992-10,3922774)
(DU,1991-5,34439435)
(DU,1990-11,33249229)
(DF,1992-1,0)
(IU,1994-4,4017792)
(DU,1994-2,32706163)
(IF,1991-9,3213846)
(DU,1993-5,36741414)
(IU,1990-6,3950134)
(IU,1993-1,3932994)
(IF,1992-9,3424481)
(IF,1993-1,3474472)
(IF,1990-8,3923203)
(IF,1992-11,3012245)
(IF,1993-8,4499057)
(IF,1990-4,3089033)
(DU,1992-9,35132914)
(IU,1990-11,3102009)
(DU,1992-11,33078503)
(IU,1993-7,5073130)
(IU,1994-2,3549010)
(DU,1994-6,41916076)
(IF,1994-8,4737191)
(DU,1991-2,29064590)
(IF,1991-6,3302648)
(IF,1993-12,3527220)
(DU,1992-6,39660918)
(IF,1991-1,2950389)
(IU,1992-7,4711880)
(IF,1991-8,3979598)
(DU,1993-12,36483396)
(IU,1993-2,3470911)
(IF,1992-6,3572503)
(IF,1994-3,3738300)
(IU,1993-10,4190251)
(IF,1994-4,3434564)
(DU,1991-9,31545009)
(DU,1990-12,32982839)
(DU,1990-2,30715911)
(IU,1994-12,4049087)
(DU,1992-2,29568279)
(IU,1994-8,5313075)
(IF,1992-2,2853932)
(DU,1991-10,34443448)
(DU,1994-11,39644182)
(IU,1994-3,4396340)
(IU,1990-2,2820116)
(IU,1991-6,4005496)
(DU,1993-1,31121599)
(IF,1994-12,3788449)
(IU,1994-11,3758952)
(DU,1990-7,37703734)
(IU,1999-8,6539058)
(DU,1997-9,41697000)
(IF,1997-11,4479308)
(DF,1997-10,0)
(DU,1996-10,44661498)
(IU,1999-5,5380159)
(IU,1996-1,4329129)
(DF,1995-9,0)
(IF,1995-1,3878677)
(IU,1996-10,4559089)
(IU,1995-4,4249736)
(DF,1999-6,0)
(IF,1996-6,4839074)
(DF,1998-5,272)
(IF,1996-3,4438142)
(IU,1995-9,4705463)
(DU,1997-4,44668560)
(DU,1996-4,43764745)
(DF,1997-4,0)
(IF,1998-4,4907273)
(DF,1995-12,197)
(DU,1999-6,50894656)
(IF,1999-5,5483074)
(IF,1998-10,5114414)
(IF,1995-12,4205846)
(DU,1995-3,42639115)
(IF,1997-7,5736930)
(IU,1995-11,3999732)
(DF,1998-9,0)
(DU,1998-12,45625020)
(IU,1998-12,4732936)
(IU,1998-4,5050571)
(DF,1997-9,0)
(DF,1997-8,0)
(DF,1999-11,91)
(IF,1999-10,5546060)
(IF,1997-3,4859609)
(IF,1999-1,5031383)
(IF,1995-9,4382893)
(DF,1998-10,0)
(IU,1995-10,4451526)
(DF,1998-2,49)
(DU,1998-1,39902306)
(DU,1996-9,40455888)
(IU,1999-11,4995393)
(DU,1995-8,45780334)
(IF,1999-4,5227062)
(IU,1998-11,4528297)
(DU,1997-5,45795980)
(IU,1997-3,5277339)
(IU,1997-12,4609172)
(IU,1996-5,4731849)
(DF,1996-1,30)
(IU,1997-4,4683763)
(IU,1997-9,5011114)
(IF,1995-6,4424375)
(IU,1995-8,5650471)
(DF,1996-5,0)
(DU,1997-12,44453691)
(DU,1998-6,49152325)
(IF,1998-7,6002590)
(IF,1996-7,5250533)
(IF,1996-12,4419710)
(IF,1996-9,4547803)
(DU,1997-11,42629044)
(IU,1996-11,4196308)
(DU,1998-9,42454524)
(IF,1995-2,3169002)
(IF,1995-11,3806594)
(IF,1998-9,5178754)
(IF,1997-6,5240907)
(IF,1995-4,3993472)
(IU,1998-7,6054152)
(IU,1999-1,4932772)
(DF,1996-9,0)
(IF,1998-5,5144517)
(DF,1995-11,115)
(DU,1998-5,47402937)
(DU,1999-3,49887631)
(IF,1999-6,5850683)
(IF,1996-2,3745477)
(IU,1998-3,5316240)
(DU,1996-5,44674289)
(DU,1995-4,40966721)
(IU,1999-7,6489703)
(IF,1995-8,5150709)
(IU,1996-4,4444440)
(DU,1997-1,40087424)
(IU,1997-7,5775529)
(DU,1999-2,40713491)
(IF,1998-1,4707585)
(IU,1995-3,4461542)
(DU,1996-8,48371936)
(DU,1999-7,53699987)
(IF,1999-2,4485017)
(DU,1998-11,44746816)
(DU,1995-7,44432354)
(IF,1999-7,6471896)
(IF,1999-11,5167369)
(DU,1998-2,39386993)
(IU,1999-12,4820589)
(IU,1996-8,5976535)
(IU,1995-7,5513608)
(IF,1996-5,4367845)
(DU,1996-1,37295841)
(IF,1995-5,4033395)
(DF,1997-7,0)
(IF,1997-9,5051800)
(DF,1999-2,52)
(DF,1998-6,0)
(DF,1999-10,0)
(DU,1997-8,49852550)
(DF,1997-1,27)
(DF,1998-1,143)
(IF,1997-2,4030358)
(DF,1999-8,0)
(DU,1995-5,41435972)
(DF,1996-3,23)
(DU,1996-12,44282206)
(DU,1998-8,50423067)
(IF,1999-9,5471859)
(IU,1998-8,6158583)
(IF,1998-6,5507935)
(DU,1999-11,47902988)
(DF,1995-10,0)
(IF,1996-11,4100777)
(IU,1999-3,5668931)
(DU,1996-2,39179744)
(IU,1997-2,4249801)
(DF,1999-4,0)
(DU,1999-1,41030878)
(DU,1997-10,45438625)
(DU,1998-4,46912205)
(DU,1997-2,38867887)
(DF,1997-2,29)
(IF,1998-8,6131504)
(DF,1996-8,0)
(IF,1997-5,4916406)
(IF,1999-3,5546133)
(DU,1999-4,48293025)
(DF,1998-12,168)
(DF,1999-1,0)
(IU,1996-9,4751532)
(DU,1998-3,47880532)
(IU,1995-2,3638474)
(IF,1998-11,4628235)
(DF,1996-12,0)
(DF,1998-7,0)
(IU,1998-2,4425990)
(DU,1995-12,40691944)
(IU,1999-2,4398555)
(IF,1999-12,5053368)
(IU,1997-10,4767079)
(IF,1996-10,4454875)
(DU,1999-8,52176817)
(IU,1996-3,5011372)
(IU,1995-1,4171919)
(DU,1995-1,36633999)
(IU,1995-6,4831956)
(IF,1997-12,4736398)
(DF,1998-4,85)
(IF,1995-10,4160617)
(DU,1996-7,47052911)
(DU,1998-10,46918172)
(IF,1998-2,4120973)
(DU,1999-12,46281065)
(DU,1997-7,49639825)
(IU,1999-6,5861336)
(IU,1996-7,5752092)
(IU,1997-6,5263648)
(DU,1999-10,49496830)
(DU,1999-5,48162152)
(IU,1998-5,5237573)
(DU,1996-3,46456179)
(IU,1997-8,6031639)
(DF,1997-3,0)
(IF,1999-8,6592201)
(DF,1997-6,0)
(IU,1996-2,4200175)
(DU,1997-3,48022601)
(IF,1997-1,4468441)
(DF,1997-12,185)
(DF,1999-5,0)
(IF,1995-7,5008828)
(IF,1997-10,4819646)
(DF,1996-4,19)
(IF,1997-8,6022252)
(IU,1995-12,4257162)
(IF,1996-4,4177197)
(IU,1999-4,5231897)
(IU,1999-10,5381433)
(DU,1995-6,43622453)
(IU,1997-1,4669486)
(IU,1998-9,4872978)
(IU,1995-5,4352789)
(DU,1995-10,41980859)
(DF,1996-7,0)
(DF,1998-8,0)
(IF,1996-8,5449921)
(DF,1998-11,0)
(DF,1999-12,0)
(DU,1997-6,47666691)
(DU,1995-2,35085895)
(IF,1996-1,4094621)
(IF,1997-4,4589680)
(IU,1997-5,4921510)
(IF,1998-3,4935273)
(IF,1998-12,4941847)
(DU,1998-7,51444601)
(DU,1999-9,44608338)
(DU,1995-9,38618706)
(IU,1998-1,4881715)
(IU,1998-10,4954667)
(DF,1998-3,192)
(IU,1998-6,5557067)
(IU,1997-11,4414544)
(DU,1996-11,40163832)
(IU,1999-9,5392491)
(DF,1996-11,0)
(IU,1996-6,5261138)
(DF,1997-11,152)
(DU,1995-11,40501007)
(IF,1995-3,3882961)
(IU,1996-12,4475645)
(DU,1996-6,45991089)
(IU,2001-9,3981896)
(IF,2004-3,5276851)
(DF,2003-7,4)
(DU,2000-5,52320495)
(IF,2001-10,3770085)
(IU,2001-12,4599723)
(IU,2000-8,7027435)
(IF,2003-2,4152692)
(DF,2004-8,0)
(DF,2001-10,35)
(DU,2003-9,44574480)
(DF,2002-7,0)
(IF,2000-10,5721368)
(DU,2002-8,51309631)
(IF,2003-1,4992758)
(IU,2004-3,6328529)
(DF,2002-11,349)
(DU,2002-3,48494755)
(IF,2004-2,4465057)
(DF,2003-3,852)
(DU,2003-12,50129654)
(IU,2004-11,5583368)
(IU,2001-5,5837460)
(DF,2004-4,54)
(IU,2000-4,5756087)
(IF,2000-12,5512033)
(DU,2004-9,47997275)
(DU,2000-9,46393775)
(DU,2003-4,47363828)
(DF,2004-1,635)
(IF,2002-2,3941149)
(IF,2001-8,6879243)
(DU,2002-7,51251732)
(DF,2001-9,3)
(IU,2001-1,5557072)
(IF,2000-4,5891144)
(DU,2001-5,51117961)
(DF,2001-6,0)
(IF,2001-5,5668265)
(IU,2001-8,6853092)
(DU,2003-1,43347503)
(DU,2003-8,54319804)
(DU,2004-8,57786949)
(DF,2004-2,755)
(IF,2002-10,4901859)
(IF,2002-9,4813501)
(IU,2002-6,5863088)
(DF,2003-12,588)
(IF,2004-8,6436353)
(IF,2003-12,5234620)
(DF,2003-2,184)
(IU,2004-4,6066230)
(IU,2000-11,5173120)
(DU,2000-2,43723415)
(DU,2000-10,50952983)
(IF,2001-1,5447867)
(DU,2001-3,53051780)
(DU,2004-4,53709788)
(IU,2003-7,6532748)
(IF,2003-7,5775126)
(DF,2000-1,84)
(IU,2002-2,4474239)
(DU,2001-10,40286734)
(DF,2000-7,0)
(DF,2004-5,0)
(IU,2002-1,4762586)
(IF,2004-4,5276198)
(IF,2004-12,5281102)
(DU,2004-5,53388577)
(DF,2002-1,261)
(IF,2002-6,5399719)
(DF,2001-4,0)
(IU,2003-3,5463478)
(DF,2000-2,145)
(DF,2003-4,56)
(DF,2002-6,0)
(IF,2002-1,4527424)
(IF,2000-11,5384822)
(DU,2003-3,50384662)
(IU,2004-10,5795986)
(IF,2003-3,4659005)
(DF,2000-12,38)
(IF,2000-7,7033399)
(DU,2001-9,30542483)
(IF,2001-11,3641614)
(IU,2001-4,5893818)
(DF,2001-8,0)
(DF,2002-12,720)
(DU,2002-6,49272591)
(DU,2004-11,52054926)
(IU,2004-8,7297085)
(IF,2000-3,5851822)
(DF,2002-9,0)
(DU,2001-4,50789871)
(IU,2002-10,4971417)
(IF,2001-4,5691225)
(DU,2003-10,50348172)
(IU,2000-3,6110738)
(IU,2002-7,6378282)
(DF,2001-3,336)
(IU,2003-12,5648604)
(IF,2004-7,6537468)
(IF,2003-6,5132291)
(DU,2000-3,52983669)
(DF,2004-9,0)
(DU,2000-8,54509427)
(DF,2000-3,266)
(IU,2003-8,6582581)
(DF,2001-5,0)
(DU,2002-11,45183103)
(IF,2002-7,5795607)
(IU,2000-12,5360122)
(DU,2000-12,47070100)
(DF,2003-8,0)
(DU,2002-1,38552445)
(IF,2003-11,4736404)
(DU,2003-7,56142757)
(IF,2002-5,4903381)
(DF,2004-10,60)
(DU,2003-2,41462566)
(IU,2003-9,4984643)
(DF,2001-1,292)
(IF,2000-6,6498861)
(IU,2000-2,4948473)
(DU,2000-11,49653836)
(IU,2003-2,4590391)
(DF,2002-5,0)
(IU,2002-5,5256117)
(IU,2003-11,5070840)
(DU,2004-2,45706682)
(IU,2002-11,4780021)
(DF,2000-11,128)
(IF,2002-12,5108191)
(DU,2001-12,40896552)
(IF,2001-9,4204956)
(DF,2003-5,0)
(DF,2003-10,192)
(IU,2004-7,7635196)
(DU,2001-8,56400030)
(IF,2003-10,4947835)
(IF,2001-12,4318449)
(IF,2003-4,4114565)
(DF,2002-2,238)
(IU,2000-6,6588257)
(IF,2001-3,5775927)
(DU,2004-6,57348632)
(IF,2002-4,4541116)
(DF,2004-11,1088)
(DU,2002-5,47122436)
(IU,2002-4,5076875)
(IF,2003-9,4893405)
(IU,2004-12,6305201)
(DF,2003-9,4)
(IU,2001-10,3688335)
(DU,2002-2,38638413)
(IU,2001-3,6240097)
(IF,2004-6,5908746)
(DU,2004-10,54577894)
(IU,2003-1,5261367)
(IF,2001-7,6780290)
(IU,2000-9,5718668)
(DU,2001-1,44103915)
(DF,2000-4,44)
(IF,2004-11,4866270)
(DU,2003-6,52540201)
(DU,2004-1,44204780)
(IU,2003-5,4835125)
(IF,2002-8,6001097)
(IU,2004-1,5678001)
(IU,2000-7,7202852)
(IF,2000-2,4916260)
(IU,2002-8,6309012)
(DU,2000-7,55614843)
(IU,2004-6,6794895)
(DU,2002-10,48376160)
(DU,2000-4,50349430)
(DF,2004-6,0)
(DF,2001-12,565)
(IU,2000-5,6034378)
(DF,2002-3,376)
(IU,2003-10,5112404)
(DF,2001-11,544)
(DF,2003-6,13)
(DF,2003-1,457)
(IF,2003-5,4380546)
(DF,2004-3,711)
(DU,2001-7,55799722)
(DU,2004-12,52906948)
(IU,2001-6,6464041)
(IF,2000-1,5118360)
(DU,2000-6,54719105)
(IF,2004-9,5348324)
(DU,2004-3,54621437)
(IU,2004-9,5552124)
(IU,2000-1,5078055)
(IF,2000-8,6945815)
(DF,2002-10,108)
(IF,2001-2,4704259)
(DU,2002-12,50017736)
(DU,2003-11,47453839)
(DU,2002-9,40270356)
(DF,2000-6,0)
(DU,2001-11,40687441)
(DF,2004-7,0)
(IF,2004-1,5111442)
(IU,2004-2,5397744)
(IU,2001-2,5038874)
(IF,2000-5,5992933)
(IU,2002-12,5331585)
(DF,2001-7,0)
(IF,2001-6,6261503)
(IU,2003-6,5703314)
(IU,2004-5,6076870)
(DF,2002-4,93)
(IU,2001-11,3919213)
(IF,2002-3,4974491)
(IU,2002-9,4929635)
(DF,2004-12,446)
(DF,2000-10,37)
(IF,2003-8,5952968)
(DF,2003-11,514)
(DF,2000-5,3)
(IF,2000-9,5994270)
(DU,2001-2,43174266)
(DF,2002-8,0)
(IU,2000-10,5477896)
(IU,2003-4,4639691)
(DU,2003-5,49411277)
(DU,2002-4,45433116)
(IF,2004-5,5351931)
(IU,2002-3,5738756)
(DU,2000-1,41552170)
(IF,2002-11,4533207)
(IU,2001-7,6949986)
(DU,2004-7,60061401)
(IF,2004-10,5312689)
(DU,2001-6,53468680)
(IU,2008-11,6216657)
(DU,2006-6,59461542)
(DF,2006-1,1080)
(IF,2009-12,5802174)
(IF,2006-11,5117316)
(DF,2007-6,0)
(IU,2007-4,7407459)
(IF,2005-5,5721030)
(DU,2006-11,54065553)
(DU,2007-8,62856036)
(DF,2006-7,198)
(IU,2009-3,7281304)
(DF,2009-4,3092)
(DU,2008-11,47838817)
(IU,2007-10,6810697)
(DU,2009-3,53717065)
(DF,2009-8,4)
(IF,2007-4,5672916)
(IF,2007-10,5808793)
(DF,2005-12,873)
(DU,2008-2,50274266)
(DU,2006-1,49062921)
(DF,2006-10,524)
(DF,2005-5,177)
(DF,2007-12,3795)
(IF,2007-9,5864106)
(IF,2006-1,5412656)
(DU,2007-2,47932288)
(DU,2009-12,49960836)
(DU,2009-7,59635044)
(DU,2005-5,57589570)
